# m=32
set,vedge,trial,backlash,switch,fw_ms
nominal,4000,0,581,1667,4832
nominal,4000,1,576,1667,4833
nominal,4000,2,577,1669,4835
nominal,4000,3,536,1626,4814
nominal,4000,4,581,1667,4832
nominal,4000,5,582,1669,4836
nominal,4000,6,565,1625,4821
nominal,4000,7,535,1625,4813
nominal,4000,8,581,1667,4832
nominal,4000,9,576,1666,4833
half,2000,0,534,1636,6857
half,2000,1,557,1658,6899
half,2000,2,556,1658,6908
half,2000,3,536,1637,6886
half,2000,4,558,1659,6870
double,8000,0,546,1636,3801
double,8000,1,606,1651,3805
double,8000,2,610,1657,3809
double,8000,3,626,1662,3811
double,8000,4,631,1718,3812
