cycle,ts,epoch,kind,start_deg,approach,multi_rev,cold,ok,home_err,switch,backlash,T,fw_ms,pass_spread,anomalies,msg
0,2026-07-10T18:05:46,f4bbc77,uniform+0.0,0.26,1,0,0,1,1,1422,510,231,10448,4,,ok
1,2026-07-10T18:05:59,f4bbc77,uniform+15.0,15.01,-1,0,0,1,24,1510,484,231,18007,0,,ok
2,2026-07-10T18:06:20,f4bbc77,uniform+30.0,30.11,1,0,0,1,15,1462,500,230,17639,3,,ok
3,2026-07-10T18:06:47,f4bbc77,uniform+45.0,45.16,-1,0,0,1,3,1373,563,230,17242,1,,ok
4,2026-07-10T18:07:07,f4bbc77,uniform+60.0,60.26,1,0,0,1,-7,1435,562,231,16963,6,,ok
5,2026-07-10T18:07:32,f4bbc77,uniform+75.0,75.09,-1,0,0,1,-11,1472,516,231,16672,8,,ok
6,2026-07-10T18:07:52,f4bbc77,uniform+90.0,90.03,1,0,0,1,6,1486,537,231,16351,1,,ok
7,2026-07-10T18:08:17,f4bbc77,uniform+105.0,105.36,-1,0,0,1,-45,1438,436,230,15936,3,,ok
8,2026-07-10T18:08:37,f4bbc77,uniform+120.0,120.09,1,0,0,1,1,1459,441,230,15642,4,,ok
9,2026-07-10T18:09:00,f4bbc77,uniform+135.0,135.24,-1,0,1,1,63,1535,563,231,30375,2,,ok
10,2026-07-10T18:09:35,f4bbc77,uniform+150.0,150.07,1,0,0,1,-48,1460,589,231,15028,2,,ok
11,2026-07-10T18:11:01,f4bbc77,uniform+165.0,165.23,-1,0,0,1,45,1597,585,232,14838,6,,ok
12,2026-07-10T18:11:22,f4bbc77,uniform+180.0,-179.92,1,0,0,1,-8,1537,579,231,14474,4,,ok
13,2026-07-10T18:11:42,f4bbc77,uniform-165.0,-164.72,-1,0,0,1,-3,1536,575,231,14120,4,,ok
14,2026-07-10T18:12:02,f4bbc77,uniform-150.0,-149.78,1,0,0,1,2,1537,581,231,13794,3,,ok
15,2026-07-10T18:12:21,f4bbc77,uniform-135.0,-134.95,-1,0,0,1,0,1547,583,231,13490,2,,ok
16,2026-07-10T18:12:39,f4bbc77,uniform-120.0,-119.95,1,0,0,1,-1,1548,564,231,13132,12,,ok
17,2026-07-10T18:12:57,f4bbc77,uniform-105.0,-104.7,-1,0,0,1,2,1547,589,231,12837,2,,ok
18,2026-07-10T18:13:13,f4bbc77,uniform-90.0,-89.87,1,0,0,1,0,1558,587,231,12514,1,,ok
19,2026-07-10T18:13:30,f4bbc77,uniform-75.0,-74.95,-1,0,1,1,-7,1534,585,231,17140,2,,ok
20,2026-07-10T18:13:50,f4bbc77,uniform-60.0,-59.88,1,0,0,1,-7,1532,563,231,11799,0,,ok
21,2026-07-10T18:14:06,f4bbc77,uniform-45.0,-44.8,-1,0,0,1,5,1523,587,231,11477,10,,ok
22,2026-07-10T18:14:20,f4bbc77,uniform-30.0,-29.87,1,0,0,1,-10,1534,563,231,11170,0,,ok
23,2026-07-10T18:14:34,f4bbc77,uniform-15.0,-14.93,-1,0,0,1,5,1535,586,231,10852,1,,ok
24,2026-07-10T18:14:47,f4bbc77,at-home,0.1,1,0,0,1,-5,1534,562,231,10624,4,,ok
25,2026-07-10T18:15:00,f4bbc77,in-flag+,0.74,-1,0,0,1,-68,1435,459,231,18220,3,,ok
26,2026-07-10T18:15:21,f4bbc77,in-flag-,-0.23,1,0,0,1,71,1607,588,232,10728,5,,ok
27,2026-07-10T18:15:42,f4bbc77,lead-edge,-1.63,-1,0,0,1,-71,1434,461,231,10373,8,,ok
28,2026-07-10T18:16:02,f4bbc77,trail-edge,1.82,1,0,0,1,2,1487,456,232,18280,2,,ok
29,2026-07-10T18:16:30,f4bbc77,wrap+0.5deg,0.71,-1,0,1,1,56,1512,487,231,37433,14,,ok
30,2026-07-10T18:17:10,f4bbc77,bound+179.9deg,-179.97,1,0,0,1,-30,1437,512,231,14311,4,,ok
31,2026-07-10T18:17:38,f4bbc77,bound-179.9deg,-179.65,-1,0,0,1,15,1583,465,232,18480,16,,ok
32,2026-07-10T18:18:02,f4bbc77,stay-at-park,0.02,0,0,0,1,0,1509,466,231,10539,0,,ok
33,2026-07-10T18:18:13,f4bbc77,uniform+137.5,137.77,-1,0,0,1,3,1472,534,231,15306,5,,ok
34,2026-07-10T18:18:34,f4bbc77,uniform+152.5,152.77,1,0,0,1,4,1462,536,231,14958,0,,ok
35,2026-07-10T18:18:55,f4bbc77,uniform+167.5,167.87,-1,0,0,1,-1,1557,543,232,14727,2,,ok
36,2026-07-10T18:19:15,f4bbc77,uniform-177.5,-177.3,1,0,0,1,1,1534,539,232,14384,3,,ok
37,2026-07-10T18:19:44,f4bbc77,uniform-162.5,-162.49,-1,0,0,1,2,1559,560,232,14115,2,,ok
38,2026-07-10T18:20:04,f4bbc77,uniform-147.5,-147.44,1,0,0,1,-3,1479,561,231,17653,14,,ok
39,2026-07-10T18:20:35,f4bbc77,uniform-132.5,-132.35,-1,0,1,1,-1,1511,556,231,18375,0,,ok
40,2026-07-10T18:21:00,f4bbc77,uniform-117.5,-117.3,1,0,0,1,-1,1485,564,231,13029,6,,ok
41,2026-07-10T18:21:25,f4bbc77,uniform-102.5,-102.38,-1,0,0,1,-15,1497,538,231,12691,10,,ok
42,2026-07-10T18:21:46,f4bbc77,uniform-87.5,-87.38,1,0,0,1,4,1482,562,231,12352,4,,ok
43,2026-07-10T18:22:10,f4bbc77,uniform-72.5,-72.49,-1,0,0,1,1,1509,563,231,12072,0,,ok
44,2026-07-10T18:22:30,f4bbc77,uniform-57.5,-57.3,1,0,0,1,3,1486,574,231,11705,0,,ok
45,2026-07-10T18:22:53,f4bbc77,uniform-42.5,-42.26,-1,0,0,1,-15,1497,536,231,11382,10,,ok
46,2026-07-10T18:23:13,f4bbc77,uniform-27.5,-27.3,1,0,0,1,0,1484,563,231,11054,2,,ok
47,2026-07-10T18:23:35,f4bbc77,uniform-12.5,-12.12,-1,0,0,1,-9,1498,537,231,10720,11,,ok
48,2026-07-10T18:23:55,f4bbc77,uniform+2.5,2.53,1,0,0,1,10,1510,561,231,18317,1,,ok
49,2026-07-10T18:24:23,f4bbc77,uniform+17.5,17.51,-1,2,1,1,-93,1460,411,231,22855,5,,ok
50,2026-07-10T18:25:20,f4bbc77,uniform+32.5,32.87,1,0,0,1,2,1448,410,231,17519,8,,ok
51,2026-07-10T18:25:46,f4bbc77,uniform+47.5,47.88,-1,0,0,1,48,1461,602,231,17316,3,,ok
52,2026-07-10T18:26:07,f4bbc77,uniform+62.5,62.52,1,0,0,1,6,1461,615,231,17004,2,,ok
53,2026-07-10T18:26:32,f4bbc77,uniform+77.5,77.79,-1,0,0,1,21,1558,541,231,16695,2,,ok
54,2026-07-10T18:26:52,f4bbc77,uniform+92.5,92.65,1,0,0,1,-7,1474,533,230,16278,10,,ok
55,2026-07-10T18:27:17,f4bbc77,uniform+107.5,107.68,-1,0,0,1,-54,1359,487,230,15810,6,,ok
56,2026-07-10T18:27:37,f4bbc77,uniform+122.5,122.66,1,0,0,1,0,1397,484,231,15519,6,,ok
57,2026-07-10T18:27:59,f4bbc77,at-home,0.4,-1,0,0,1,3,1458,464,232,10470,6,,ok
58,2026-07-10T18:28:12,f4bbc77,in-flag+,0.85,1,0,0,1,-9,1458,461,232,10502,6,,ok
59,2026-07-10T18:28:26,f4bbc77,in-flag-,-0.51,-1,0,1,1,36,1460,537,231,23324,1,,ok
60,2026-07-10T18:28:51,f4bbc77,lead-edge,-1.32,1,0,0,1,-37,1411,463,231,10368,3,,ok
61,2026-07-10T18:29:12,f4bbc77,trail-edge,1.61,-1,0,0,1,17,1585,460,232,22382,14,,ok
62,2026-07-10T18:29:44,f4bbc77,wrap+0.5deg,0.84,1,0,0,1,-19,1399,462,231,10459,5,,ok
63,2026-07-10T18:30:12,f4bbc77,bound+179.9deg,-179.8,-1,0,0,1,27,1570,614,232,14493,10,,ok
64,2026-07-10T18:30:48,f4bbc77,bound-179.9deg,-179.6,1,0,0,1,-32,1397,462,231,14242,2,,ok
65,2026-07-10T18:31:32,f4bbc77,stay-at-park,-0.1,0,0,0,1,3,1448,457,232,10478,10,,ok
66,2026-07-10T18:31:43,f4bbc77,uniform-85.0,-84.62,1,0,0,1,-5,1437,462,232,12214,5,,ok
67,2026-07-10T18:31:59,f4bbc77,uniform-70.0,-69.81,-1,0,0,1,-4,1435,474,232,11881,4,,ok
68,2026-07-10T18:32:14,f4bbc77,uniform-55.0,-54.74,1,0,0,1,0,1446,481,232,11571,4,,ok
69,2026-07-10T18:32:29,f4bbc77,uniform-40.0,-39.9,-1,0,1,1,19,1532,462,231,36392,1,,ok
70,2026-07-10T18:33:08,f4bbc77,uniform-25.0,-24.8,1,0,0,1,-12,1388,487,231,10863,4,,ok
71,2026-07-10T18:33:37,f4bbc77,uniform-10.0,-9.56,-1,0,0,1,16,1573,465,232,10717,4,,ok
72,2026-07-10T18:34:05,f4bbc77,uniform+5.0,5.33,1,0,0,1,21,1496,537,232,22240,13,,ok
73,2026-07-10T18:34:45,f4bbc77,uniform+20.0,19.98,-1,0,0,1,-10,1571,641,232,18020,8,,ok
74,2026-07-10T18:35:14,f4bbc77,uniform+35.0,35.14,1,0,0,1,-16,1584,461,232,17630,7,,ok
75,2026-07-10T18:35:48,f4bbc77,uniform+50.0,50.39,-1,0,0,1,17,1497,586,231,17277,4,,ok
76,2026-07-10T18:36:16,f4bbc77,uniform+65.0,65.33,1,0,0,1,-4,1511,640,231,16982,5,,ok
77,2026-07-10T18:36:50,f4bbc77,uniform+80.0,80.18,-1,0,0,1,-60,1385,438,231,16436,10,,ok
78,2026-07-10T18:37:18,f4bbc77,uniform+95.0,95.24,1,0,0,1,65,1558,574,232,16366,1,,ok
79,2026-07-10T18:37:50,f4bbc77,uniform+110.0,110.27,-1,0,1,1,-4,1721,593,235,21149,3,,ok
80,2026-07-10T18:38:23,f4bbc77,uniform+125.0,125.34,1,0,0,1,-46,1671,478,235,15779,2,,ok
81,2026-07-10T18:38:54,f4bbc77,uniform+140.0,140.18,-1,0,0,1,135,2025,716,236,20160,24,backlash-band,ok
82,2026-07-10T18:39:27,f4bbc77,uniform+155.0,154.77,1,0,0,1,-93,1722,611,235,15216,4,,ok
83,2026-07-10T18:39:57,f4bbc77,uniform+170.0,170.2,-1,0,0,1,31,1759,645,235,14954,5,,ok
84,2026-07-10T18:40:25,f4bbc77,uniform-175.0,-174.78,1,0,0,1,-21,1766,639,235,18717,20,,ok
85,2026-07-10T18:41:06,f4bbc77,uniform-160.0,-159.59,-1,0,0,1,15,1759,641,235,14251,5,,ok
86,2026-07-10T18:41:34,f4bbc77,uniform-145.0,-144.72,1,0,0,1,-20,1771,639,235,13934,5,,ok
87,2026-07-10T18:42:09,f4bbc77,uniform-130.0,-129.6,-1,0,0,1,12,1673,635,234,13542,8,,ok
88,2026-07-10T18:42:37,f4bbc77,uniform-115.0,-114.84,1,0,0,1,-12,1771,639,235,13307,8,,ok
89,2026-07-10T18:43:11,f4bbc77,uniform-100.0,-99.67,-1,0,1,1,-8,1498,586,231,27632,12,,ok
90,2026-07-10T18:43:54,f4bbc77,at-home,0.02,1,0,0,1,-32,1473,587,231,10543,10,,ok
91,2026-07-10T18:44:30,f4bbc77,in-flag+,1.16,-1,0,0,1,-29,1508,456,231,18329,2,,ok
92,2026-07-10T18:45:14,f4bbc77,in-flag-,-0.42,1,0,0,1,27,1473,596,231,10548,12,,ok
