# threshold=255
# vmax=10000
# usteps_per_rev=189704
# aborted=0
# start_pos=715526
index,pos_usteps,new_state,lap_usteps,lap_deg
0,744583,1,29057,55.14127271960528
1,744647,0,29121,55.26272508750474
2,745369,1,29843,56.632859612870575
3,764073,0,48547,92.12731413148906
4,764717,1,49191,93.34942858347742
5,812222,0,96696,183.4993463501033
6,812909,1,97383,184.80306161177413
7,815436,0,99910,189.59853245055456
8,816129,1,100603,190.91363387171594
9,821951,0,106425,201.96200396407033
10,822226,1,106700,202.48386960738836
11,822447,0,106921,202.9032598152912
12,822610,1,107084,203.21258381478515
13,825198,0,109672,208.12381394171973
14,841060,1,125534,238.22502424830262
15,841137,0,125611,238.37114662843166
16,844280,1,128754,244.33559650824444
17,844351,0,128825,244.47033272888288
18,867635,1,152109,288.65622232530677
19,889449,0,173923,330.0525028465399
20,897095,1,181569,344.562265424029
21,908687,0,3457,6.560325559819509
