# n=8
vedge,m,trial,home_err,lead,trail,switch,backlash,fw_ms
2000,8,0,-10,-878,858,1736,502,6957
2000,8,1,0,-868,867,1735,504,6957
2000,8,2,5,-864,874,1738,526,6978
2000,8,3,-16,-883,850,1733,503,6955
2000,8,4,0,-867,866,1733,501,6955
2000,8,5,5,-862,873,1735,526,6978
2000,8,6,-12,-879,854,1733,502,6955
2000,8,7,10,-859,879,1738,526,6978
2000,32,0,15,-866,896,1762,563,7024
2000,32,1,1,-880,882,1762,561,7055
2000,32,2,-5,-886,875,1761,561,7015
2000,32,3,-3,-884,877,1761,561,7016
2000,32,4,-5,-885,875,1760,561,7016
2000,32,5,1,-879,882,1761,563,7054
2000,32,6,2,-878,883,1761,564,7016
2000,32,7,-13,-893,866,1759,560,7015
2000,64,0,1,-878,881,1759,576,7054
2000,64,1,2,-878,882,1760,576,7054
2000,64,2,-10,-889,869,1758,557,7042
2000,64,3,-7,-875,861,1736,552,7039
2000,64,4,7,-861,875,1736,557,7042
2000,64,5,-10,-889,868,1757,557,7070
2000,64,6,-6,-874,861,1735,551,7039
2000,64,7,16,-851,884,1735,578,7052
4000,8,0,-23,-881,834,1715,505,4910
4000,8,1,-6,-843,831,1674,500,4893
4000,8,2,5,-853,863,1716,544,4914
4000,8,3,7,-853,868,1721,548,4916
4000,8,4,-7,-844,829,1673,506,4894
4000,8,5,-6,-865,852,1717,544,4914
4000,8,6,-3,-839,832,1671,506,4894
4000,8,7,6,-834,846,1680,542,4912
4000,32,0,-8,-844,828,1672,534,4908
4000,32,1,-8,-844,828,1672,532,4916
4000,32,2,-1,-837,835,1672,528,4906
4000,32,3,10,-850,870,1720,573,4930
4000,32,4,4,-856,865,1721,576,4944
4000,32,5,-14,-872,844,1716,539,4919
4000,32,6,-5,-863,853,1716,567,4934
4000,32,7,1,-858,861,1719,572,4928
4000,64,0,4,-857,866,1723,555,4939
4000,64,1,-1,-863,860,1723,551,4941
4000,64,2,0,-862,861,1723,550,4941
4000,64,3,-4,-866,857,1723,552,4939
4000,64,4,1,-860,863,1723,550,4941
4000,64,5,20,-866,906,1772,604,4963
4000,64,6,-17,-900,866,1766,608,4967
4000,64,7,18,-868,905,1773,609,4980
8000,8,0,-26,-858,806,1664,531,3881
8000,8,1,19,-856,895,1751,567,3896
8000,8,2,5,-872,882,1754,572,3890
8000,8,3,-35,-899,828,1727,548,3890
8000,8,4,23,-850,896,1746,565,3893
8000,8,5,10,-866,887,1753,625,3898
8000,8,6,-23,-891,844,1735,557,3885
8000,8,7,22,-853,898,1751,568,3893
8000,32,0,-27,-894,839,1733,598,3899
8000,32,1,25,-850,900,1750,616,3905
8000,32,2,0,-875,876,1751,623,3903
8000,32,3,-20,-889,848,1737,607,3901
8000,32,4,20,-854,895,1749,622,3906
8000,32,5,0,-876,875,1751,621,3904
8000,32,6,5,-870,881,1751,628,3902
8000,32,7,6,-869,881,1750,627,3904
8000,64,0,-4,-880,871,1751,619,3909
8000,64,1,-32,-899,835,1734,597,3904
8000,64,2,-1,-868,866,1734,604,3900
8000,64,3,-15,-877,846,1723,583,3904
8000,64,4,13,-816,843,1659,533,3896
8000,64,5,-15,-877,846,1723,593,3898
8000,64,6,13,-854,880,1734,598,3908
8000,64,7,2,-866,871,1737,605,3906
