# vedge=4000
# m=32
# usteps_per_rev=189696
start_deg,trial,ok,home_reported,home_err,switch,backlash,fw_ms,msg
-90.0,0,1,8,8,1680,571,6492,ok
-90.0,1,1,-2,-2,1679,570,6483,ok
-90.0,2,1,-35,-35,1670,527,6463,ok
-90.0,3,1,17,17,1670,533,6484,ok
-90.0,4,1,-8,-8,1633,528,6467,ok
-30.0,0,1,0,0,1635,526,5145,ok
-30.0,1,1,-5,-5,1631,523,5152,ok
-30.0,2,1,-8,-8,1668,528,5154,ok
-30.0,3,1,-4,-4,1667,528,5154,ok
-30.0,4,1,-4,-4,1668,529,5154,ok
-5.0,0,1,6,6,1630,525,4553,ok
-5.0,1,1,1,1,1668,532,4556,ok
-5.0,2,1,1,1,1634,528,4551,ok
-5.0,3,1,6,6,1670,534,4559,ok
-5.0,4,1,-8,-8,1634,528,4550,ok
0.0,0,1,0,0,1632,526,4456,ok
0.0,1,1,4,4,1667,537,4505,ok
0.0,2,1,-11,-11,1664,529,4506,ok
0.0,3,1,9,9,1667,536,4505,ok
0.0,4,1,-7,-7,1629,525,4489,ok
5.0,0,1,189699,3,1623,537,12270,ok
5.0,1,1,189712,16,1665,582,12300,ok
5.0,2,1,189635,-61,1624,475,12258,ok
5.0,3,1,189728,32,1621,529,12277,ok
5.0,4,1,189754,58,1626,573,12288,ok
30.0,0,1,189654,-42,1567,480,11696,ok
30.0,1,1,189724,28,1617,573,11736,ok
30.0,2,1,189691,-5,1677,534,11734,ok
30.0,3,1,189700,4,1665,576,11744,ok
30.0,4,1,189738,42,1624,587,11741,ok
90.0,0,1,189618,-78,1575,466,10384,ok
90.0,1,1,189745,49,1625,533,10409,ok
90.0,2,1,189730,34,1669,533,10435,ok
90.0,3,1,189692,-4,1577,535,10393,ok
90.0,4,1,189711,15,1618,575,10420,ok
180.0,0,1,189655,-41,1674,486,8445,ok
180.0,1,1,189734,38,1664,623,8467,ok
180.0,2,1,189738,42,1625,620,8450,ok
180.0,3,1,189649,-47,1628,525,8442,ok
180.0,4,1,189729,33,1668,578,8451,ok
