# n=25
# vedge=2000
# m=32
# passes=2
# sd_shift=4.86
# max_abs_shift=14
# usteps_per_rev=189704
trial,ok,shift,pass_spread,switch,backlash,fw_ms,msg
0,1,-4,2,1559,558,10833,
1,1,0,2,1560,558,10872,
2,1,-6,2,1558,554,10832,
3,1,5,0,1560,563,10872,
4,1,2,7,1561,562,10846,
5,1,-14,2,1557,553,10832,
6,1,7,2,1549,565,10845,
7,1,-6,8,1560,562,10843,
8,1,-3,8,1549,584,10844,
9,1,-4,6,1559,561,10871,
10,1,-4,4,1558,556,10834,
11,1,0,8,1549,584,10844,
12,1,-1,8,1549,568,10832,
13,1,3,0,1561,580,10884,
14,1,-6,6,1560,563,10871,
15,1,-2,0,1560,564,10872,
16,1,6,8,1562,563,10846,
17,1,-7,12,1560,560,10872,
18,1,-2,4,1560,561,10834,
19,1,4,0,1562,581,10883,
20,1,-10,4,1559,560,10862,
21,1,-4,4,1558,560,10861,
22,1,0,10,1571,586,10857,
23,1,0,0,1561,560,10874,
24,1,0,3,1573,585,10868,
