# n=25
# vedge=2000
# m=32
# passes=3
# sd_shift=4.97
# max_abs_shift=17
# usteps_per_rev=189704
trial,ok,shift,pass_spread,switch,backlash,fw_ms,msg
0,1,-3,4,1582,584,14905,
1,1,-5,4,1560,560,14885,
2,1,4,2,1582,587,14922,
3,1,-6,8,1568,580,14909,
4,1,-1,6,1561,563,14858,
5,1,4,5,1582,585,14895,
6,1,-8,10,1568,580,14909,
7,1,-17,62,1535,536,14832,
8,1,2,4,1560,535,14846,
9,1,0,6,1576,561,14910,
10,1,-3,10,1577,550,14912,
11,1,5,12,1576,560,14893,
12,1,-9,6,1583,561,14922,
13,1,0,6,1583,561,14883,
14,1,2,7,1569,550,14911,
15,1,-5,4,1569,539,14872,
16,1,-4,8,1569,562,14880,
17,1,-1,5,1576,563,14910,
18,1,-1,6,1584,561,14894,
19,1,-7,4,1569,537,14871,
20,1,-1,4,1584,541,14886,
21,1,-1,5,1584,561,14894,
22,1,2,6,1577,559,14921,
23,1,-7,7,1576,560,14920,
24,1,4,6,1577,564,14923,
